"Age","Education","Marital_Status","Occupation","Sex","Hours_PW","Nationality","Income"
37,"Bachelors","Married-civ-spouse","Exec-managerial","Male",80,"United-States",">50K"
49,"Some-college","Divorced","Machine-op-inspct","Male",45,"United-States","<=50K"
20,"Some-college","Never-married","Other-service","Male",45,"United-States","<=50K"
64,"Bachelors","Married-civ-spouse","Exec-managerial","Male",55,"United-States",">50K"
32,"Assoc-acdm","Married-civ-spouse","Craft-repair","Male",42,"United-States","<=50K"
58,"HS-grad","Married-civ-spouse","Exec-managerial","Male",40,"United-States","<=50K"
42,"HS-grad","Married-civ-spouse","Sales","Male",50,"United-States","<=50K"
20,"Some-college","Never-married","Adm-clerical","Female",14,"United-States","<=50K"
42,"Some-college","Married-civ-spouse","Adm-clerical","Male",40,"United-States","<=50K"
25,"Some-college","Married-spouse-absent","Prof-specialty","Male",40,"United-States","<=50K"
30,"Assoc-voc","Married-civ-spouse","Prof-specialty","Male",65,"United-States",">50K"
37,"Bachelors","Married-civ-spouse","Prof-specialty","Male",35,"United-States",">50K"
66,"Assoc-voc","Married-civ-spouse","Prof-specialty","Male",50,"United-States","<=50K"
59,"Bachelors","Married-civ-spouse","Exec-managerial","Male",40,"England",">50K"
44,"Bachelors","Divorced","Other-service","Male",40,"China","<=50K"
46,"HS-grad","Married-civ-spouse","Adm-clerical","Male",58,"United-States",">50K"
59,"Bachelors","Married-civ-spouse","Adm-clerical","Female",30,"United-States","<=50K"
25,"Bachelors","Never-married","Exec-managerial","Male",40,"United-States","<=50K"
17,"9th","Never-married","Other-service","Male",9,"United-States","<=50K"
47,"Bachelors","Married-civ-spouse","Protective-serv","Male",40,"United-States","<=50K"
47,"9th","Divorced","Other-service","Female",40,"United-States","<=50K"
30,"Some-college","Divorced","Exec-managerial","Female",40,"United-States","<=50K"
20,"Some-college","Never-married","Farming-fishing","Female",40,"United-States","<=50K"
26,"Bachelors","Never-married","Prof-specialty","Male",55,"United-States","<=50K"
20,"Some-college","Never-married","Handlers-cleaners","Male",15,"United-States","<=50K"
33,"HS-grad","Divorced","Other-service","Male",40,"United-States","<=50K"
48,"HS-grad","Married-civ-spouse","Machine-op-inspct","Male",40,"United-States","<=50K"
52,"Bachelors","Married-civ-spouse","Exec-managerial","Male",50,"United-States",">50K"
37,"HS-grad","Divorced","Exec-managerial","Female",12,"United-States","<=50K"
47,"HS-grad","Married-civ-spouse","Craft-repair","Male",40,"United-States","<=50K"
40,"10th","Married-civ-spouse","Machine-op-inspct","Male",40,"United-States",">50K"
48,"Masters","Divorced","Exec-managerial","Female",40,"United-States",">50K"
49,"10th","Married-civ-spouse","Transport-moving","Male",42,"United-States",">50K"
50,"Some-college","Divorced","Other-service","Female",40,"United-States","<=50K"
30,"Assoc-acdm","Never-married","Prof-specialty","Female",40,"United-States","<=50K"
34,"Some-college","Married-civ-spouse","Exec-managerial","Male",40,"United-States","<=50K"
43,"HS-grad","Married-civ-spouse","Machine-op-inspct","Male",40,"United-States","<=50K"
22,"10th","Married-civ-spouse","Machine-op-inspct","Female",40,"United-States","<=50K"
35,"HS-grad","Separated","Other-service","Male",40,"United-States","<=50K"
26,"HS-grad","Divorced","Adm-clerical","Female",30,"United-States","<=50K"
62,"Prof-school","Married-civ-spouse","Prof-specialty","Male",70,"United-States","<=50K"
39,"HS-grad","Separated","Protective-serv","Male",40,"United-States","<=50K"
59,"Some-college","Married-civ-spouse","Craft-repair","Male",40,"United-States","<=50K"
27,"Bachelors","Married-civ-spouse","Craft-repair","Male",40,"United-States","<=50K"
17,"10th","Never-married","Sales","Male",30,"United-States","<=50K"
38,"Bachelors","Married-civ-spouse","Adm-clerical","Male",40,"United-States","<=50K"
41,"Some-college","Married-civ-spouse","Craft-repair","Male",50,"United-States",">50K"
27,"10th","Never-married","Machine-op-inspct","Female",40,"United-States","<=50K"
23,"HS-grad","Never-married","Adm-clerical","Female",40,"United-States","<=50K"
17,"10th","Never-married","Handlers-cleaners","Male",24,"United-States","<=50K"
56,"7th-8th","Divorced","Machine-op-inspct","Female",40,"United-States","<=50K"
24,"Some-college","Never-married","Adm-clerical","Female",40,"United-States","<=50K"
44,"12th","Divorced","Transport-moving","Male",40,"United-States","<=50K"
23,"Bachelors","Never-married","Adm-clerical","Male",30,"United-States","<=50K"
25,"HS-grad","Never-married","Transport-moving","Male",65,"United-States","<=50K"
21,"Some-college","Never-married","Other-service","Female",8,"United-States","<=50K"
18,"12th","Never-married","Handlers-cleaners","Male",6,"United-States","<=50K"
45,"Some-college","Married-civ-spouse","Craft-repair","Male",40,"United-States","<=50K"
51,"7th-8th","Married-civ-spouse","Protective-serv","Male",40,"United-States","<=50K"
42,"HS-grad","Separated","Other-service","Female",40,"United-States","<=50K"
47,"Some-college","Never-married","Other-service","Female",35,"Outlying-US(Guam-USVI-etc)","<=50K"
29,"Some-college","Married-civ-spouse","Farming-fishing","Male",40,"United-States","<=50K"
33,"11th","Never-married","Other-service","Male",40,"United-States","<=50K"
43,"Bachelors","Married-civ-spouse","Craft-repair","Male",40,"United-States","<=50K"
44,"Assoc-acdm","Married-civ-spouse","Craft-repair","Male",40,"United-States",">50K"
24,"Some-college","Never-married","Other-service","Male",30,"United-States","<=50K"
19,"Some-college","Never-married","Handlers-cleaners","Male",40,"United-States","<=50K"
52,"Assoc-voc","Married-civ-spouse","Adm-clerical","Male",40,"United-States","<=50K"
38,"HS-grad","Never-married","Farming-fishing","Male",52,"United-States","<=50K"
24,"Some-college","Never-married","Tech-support","Male",50,"United-States","<=50K"
32,"Bachelors","Never-married","Prof-specialty","Male",50,"United-States","<=50K"
26,"HS-grad","Married-civ-spouse","Sales","Male",50,"United-States",">50K"
29,"Bachelors","Married-civ-spouse","Sales","Male",50,"United-States","<=50K"
39,"HS-grad","Divorced","Adm-clerical","Male",40,"United-States",">50K"
48,"HS-grad","Married-civ-spouse","Farming-fishing","Male",50,"United-States","<=50K"
40,"Some-college","Married-civ-spouse","Craft-repair","Male",45,"United-States",">50K"
51,"Some-college","Divorced","Exec-managerial","Male",45,"Scotland","<=50K"
