"Age","Education","Marital_Status","Occupation","Sex","Hours_PW","Nationality","Income"
37,"Bachelors","Married","White-Collar","Male",80,"United-States",">50K"
49,"College Education","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Male",45,"United-States","<=50K"
20,"College Education","Never-married","Service","Male",45,"United-States","<=50K"
64,"Bachelors","Married","White-Collar","Male",55,"United-States",">50K"
32,"College Education","Married","Blue-Collar","Male",42,"United-States","<=50K"
58,"High School","Married","White-Collar","Male",40,"United-States","<=50K"
42,"High School","Married","Sales","Male",50,"United-States","<=50K"
20,"College Education","Never-married","Adm-clerical","Female",14,"United-States","<=50K"
42,"College Education","Married","Adm-clerical","Male",40,"United-States","<=50K"
25,"College Education","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Male",40,"United-States","<=50K"
30,"College Education","Married","White-Collar","Male",65,"United-States",">50K"
37,"Bachelors","Married","White-Collar","Male",35,"United-States",">50K"
66,"College Education","Married","White-Collar","Male",50,"United-States","<=50K"
59,"Bachelors","Married","White-Collar","Male",40,"Others",">50K"
44,"Bachelors","Divorced/Spouse Absent/Separated/Widowed","Service","Male",40,"Others","<=50K"
46,"High School","Married","Adm-clerical","Male",58,"United-States",">50K"
59,"Bachelors","Married","Adm-clerical","Female",30,"United-States","<=50K"
25,"Bachelors","Never-married","White-Collar","Male",40,"United-States","<=50K"
17,"Basic Education","Never-married","Service","Male",9,"United-States","<=50K"
47,"Bachelors","Married","Service","Male",40,"United-States","<=50K"
47,"Basic Education","Divorced/Spouse Absent/Separated/Widowed","Service","Female",40,"United-States","<=50K"
30,"College Education","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Female",40,"United-States","<=50K"
20,"College Education","Never-married","Farming-fishing","Female",40,"United-States","<=50K"
26,"Bachelors","Never-married","White-Collar","Male",55,"United-States","<=50K"
20,"College Education","Never-married","Service","Male",15,"United-States","<=50K"
33,"High School","Divorced/Spouse Absent/Separated/Widowed","Service","Male",40,"United-States","<=50K"
48,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
52,"Bachelors","Married","White-Collar","Male",50,"United-States",">50K"
37,"High School","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Female",12,"United-States","<=50K"
47,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
40,"High School","Married","Blue-Collar","Male",40,"United-States",">50K"
48,"Advanced Education","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Female",40,"United-States",">50K"
49,"High School","Married","Blue-Collar","Male",42,"United-States",">50K"
50,"College Education","Divorced/Spouse Absent/Separated/Widowed","Service","Female",40,"United-States","<=50K"
30,"College Education","Never-married","White-Collar","Female",40,"United-States","<=50K"
34,"College Education","Married","White-Collar","Male",40,"United-States","<=50K"
43,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
22,"High School","Married","Blue-Collar","Female",40,"United-States","<=50K"
35,"High School","Divorced/Spouse Absent/Separated/Widowed","Service","Male",40,"United-States","<=50K"
26,"High School","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",30,"United-States","<=50K"
62,"Advanced Education","Married","White-Collar","Male",70,"United-States","<=50K"
39,"High School","Divorced/Spouse Absent/Separated/Widowed","Service","Male",40,"United-States","<=50K"
59,"College Education","Married","Blue-Collar","Male",40,"United-States","<=50K"
27,"Bachelors","Married","Blue-Collar","Male",40,"United-States","<=50K"
17,"High School","Never-married","Sales","Male",30,"United-States","<=50K"
38,"Bachelors","Married","Adm-clerical","Male",40,"United-States","<=50K"
41,"College Education","Married","Blue-Collar","Male",50,"United-States",">50K"
27,"High School","Never-married","Blue-Collar","Female",40,"United-States","<=50K"
23,"High School","Never-married","Adm-clerical","Female",40,"United-States","<=50K"
17,"High School","Never-married","Service","Male",24,"United-States","<=50K"
56,"Basic Education","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Female",40,"United-States","<=50K"
24,"College Education","Never-married","Adm-clerical","Female",40,"United-States","<=50K"
44,"High School","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Male",40,"United-States","<=50K"
23,"Bachelors","Never-married","Adm-clerical","Male",30,"United-States","<=50K"
25,"High School","Never-married","Blue-Collar","Male",65,"United-States","<=50K"
21,"College Education","Never-married","Service","Female",8,"United-States","<=50K"
18,"High School","Never-married","Service","Male",6,"United-States","<=50K"
45,"College Education","Married","Blue-Collar","Male",40,"United-States","<=50K"
51,"Basic Education","Married","Service","Male",40,"United-States","<=50K"
42,"High School","Divorced/Spouse Absent/Separated/Widowed","Service","Female",40,"United-States","<=50K"
47,"College Education","Never-married","Service","Female",35,"Others","<=50K"
29,"College Education","Married","Farming-fishing","Male",40,"United-States","<=50K"
33,"High School","Never-married","Service","Male",40,"United-States","<=50K"
43,"Bachelors","Married","Blue-Collar","Male",40,"United-States","<=50K"
44,"College Education","Married","Blue-Collar","Male",40,"United-States",">50K"
24,"College Education","Never-married","Service","Male",30,"United-States","<=50K"
19,"College Education","Never-married","Service","Male",40,"United-States","<=50K"
52,"College Education","Married","Adm-clerical","Male",40,"United-States","<=50K"
38,"High School","Never-married","Farming-fishing","Male",52,"United-States","<=50K"
24,"College Education","Never-married","White-Collar","Male",50,"United-States","<=50K"
32,"Bachelors","Never-married","White-Collar","Male",50,"United-States","<=50K"
26,"High School","Married","Sales","Male",50,"United-States",">50K"
29,"Bachelors","Married","Sales","Male",50,"United-States","<=50K"
39,"High School","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Male",40,"United-States",">50K"
48,"High School","Married","Farming-fishing","Male",50,"United-States","<=50K"
40,"College Education","Married","Blue-Collar","Male",45,"United-States",">50K"
51,"College Education","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Male",45,"Others","<=50K"
28,"High School","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Male",40,"United-States","<=50K"
22,"High School","Never-married","White-Collar","Female",20,"United-States","<=50K"
23,"Bachelors","Never-married","Adm-clerical","Female",40,"United-States","<=50K"
65,"College Education","Married","Service","Male",16,"United-States","<=50K"
26,"Bachelors","Married","White-Collar","Male",40,"United-States","<=50K"
38,"Bachelors","Married","Service","Male",10,"United-States","<=50K"
33,"High School","Never-married","White-Collar","Male",60,"United-States",">50K"
33,"High School","Married","Adm-clerical","Female",60,"United-States","<=50K"
37,"Bachelors","Never-married","Sales","Female",40,"United-States","<=50K"
19,"High School","Never-married","Blue-Collar","Male",60,"United-States","<=50K"
24,"Bachelors","Never-married","Sales","Male",50,"United-States","<=50K"
30,"High School","Married","Blue-Collar","Male",45,"United-States","<=50K"
57,"High School","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Female",50,"United-States","<=50K"
22,"College Education","Never-married","White-Collar","Female",20,"United-States","<=50K"
57,"High School","Married","Blue-Collar","Male",40,"United-States",">50K"
46,"High School","Married","White-Collar","Male",40,"United-States","<=50K"
67,"High School","Married","Adm-clerical","Male",35,"United-States","<=50K"
47,"High School","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Male",40,"United-States","<=50K"
39,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
50,"College Education","Divorced/Spouse Absent/Separated/Widowed","Service","Male",40,"Others","<=50K"
58,"High School","Divorced/Spouse Absent/Separated/Widowed","Sales","Female",52,"United-States","<=50K"
36,"College Education","Married","White-Collar","Female",30,"United-States",">50K"
45,"Advanced Education","Married","White-Collar","Male",36,"Others",">50K"
54,"High School","Married","Blue-Collar","Male",40,"United-States",">50K"
26,"Bachelors","Never-married","Adm-clerical","Male",30,"United-States","<=50K"
60,"High School","Married","White-Collar","Male",40,"United-States",">50K"
46,"Advanced Education","Married","White-Collar","Male",60,"United-States",">50K"
26,"College Education","Married","White-Collar","Female",35,"United-States","<=50K"
32,"High School","Never-married","Blue-Collar","Male",40,"United-States","<=50K"
38,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
48,"College Education","Married","Sales","Male",70,"United-States",">50K"
44,"High School","Married","White-Collar","Male",45,"United-States",">50K"
37,"High School","Never-married","Service","Female",40,"Others","<=50K"
44,"College Education","Married","White-Collar","Male",40,"United-States","<=50K"
31,"High School","Never-married","Service","Female",35,"United-States","<=50K"
61,"Advanced Education","Married","White-Collar","Male",35,"United-States",">50K"
51,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
52,"Bachelors","Married","Sales","Female",60,"United-States",">50K"
45,"High School","Married","Blue-Collar","Female",40,"United-States","<=50K"
39,"High School","Married","Service","Male",70,"Others","<=50K"
67,"High School","Divorced/Spouse Absent/Separated/Widowed","Service","Female",24,"United-States","<=50K"
40,"College Education","Married","Adm-clerical","Male",40,"United-States",">50K"
27,"Basic Education","Never-married","Farming-fishing","Male",35,"Others","<=50K"
37,"Basic Education","Married","Blue-Collar","Male",40,"Others","<=50K"
57,"College Education","Married","White-Collar","Male",50,"United-States",">50K"
27,"High School","Divorced/Spouse Absent/Separated/Widowed","Service","Female",40,"United-States","<=50K"
28,"High School","Never-married","Sales","Female",48,"United-States","<=50K"
34,"Bachelors","Married","White-Collar","Male",60,"United-States",">50K"
54,"High School","Married","Blue-Collar","Male",50,"United-States",">50K"
52,"High School","Divorced/Spouse Absent/Separated/Widowed","Service","Female",38,"United-States","<=50K"
42,"Bachelors","Married","White-Collar","Male",45,"United-States",">50K"
48,"Advanced Education","Married","White-Collar","Male",40,"United-States",">50K"
65,"Advanced Education","Married","White-Collar","Male",35,"United-States",">50K"
55,"Advanced Education","Married","White-Collar","Female",10,"United-States","<=50K"
71,"High School","Married","Adm-clerical","Female",20,"United-States",">50K"
33,"College Education","Married","Blue-Collar","Male",40,"United-States","<=50K"
30,"High School","Married","Sales","Male",40,"United-States","<=50K"
35,"Bachelors","Married","White-Collar","Male",55,"United-States",">50K"
59,"High School","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",40,"United-States","<=50K"
19,"College Education","Never-married","Service","Male",20,"United-States","<=50K"
36,"Basic Education","Married","Blue-Collar","Male",30,"United-States","<=50K"
26,"High School","Never-married","Sales","Male",40,"United-States","<=50K"
34,"High School","Married","Service","Male",40,"United-States","<=50K"
41,"High School","Married","Blue-Collar","Male",40,"United-States",">50K"
44,"Bachelors","Married","White-Collar","Male",50,"Others",">50K"
47,"High School","Married","Blue-Collar","Male",48,"United-States","<=50K"
18,"College Education","Never-married","Sales","Male",16,"United-States","<=50K"
55,"High School","Married","Blue-Collar","Male",18,"United-States","<=50K"
49,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
44,"Bachelors","Married","White-Collar","Male",40,"United-States",">50K"
43,"Bachelors","Never-married","White-Collar","Male",40,"United-States","<=50K"
62,"Basic Education","Married","Service","Male",40,"Others","<=50K"
44,"High School","Married","Service","Male",40,"United-States","<=50K"
50,"College Education","Married","Sales","Male",60,"United-States",">50K"
35,"High School","Never-married","Sales","Male",45,"United-States","<=50K"
52,"High School","Married","Adm-clerical","Male",40,"United-States","<=50K"
46,"Advanced Education","Married","White-Collar","Male",60,"United-States",">50K"
44,"College Education","Married","Sales","Male",40,"United-States",">50K"
43,"College Education","Never-married","White-Collar","Male",50,"United-States","<=50K"
51,"Basic Education","Married","Blue-Collar","Male",40,"United-States","<=50K"
20,"College Education","Never-married","Sales","Male",20,"United-States","<=50K"
47,"College Education","Married","Adm-clerical","Female",40,"Others",">50K"
43,"Advanced Education","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Male",50,"United-States","<=50K"
24,"College Education","Never-married","Blue-Collar","Male",40,"United-States","<=50K"
27,"College Education","Married","Blue-Collar","Male",50,"United-States","<=50K"
32,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
37,"High School","Divorced/Spouse Absent/Separated/Widowed","Service","Female",12,"United-States","<=50K"
26,"High School","Married","Blue-Collar","Male",60,"United-States","<=50K"
